,0
2004-08-09,89256.07500000001
2004-08-10,104758.84
2004-08-11,105595.57
2004-08-12,107145.565
2004-08-13,106399.48
2004-08-14,98685.53
2004-08-15,91957.66
2004-08-16,104917.65999999999
2004-08-17,105539.70000000001
2004-08-18,105956.715
2004-08-19,104849.205
2004-08-20,103955.825
2004-08-21,96113.23
2004-08-22,91791.95499999999
2004-08-23,107004.51500000001
2004-08-24,107706.20000000001
2004-08-25,105836.26000000001
2004-08-26,104628.475
2004-08-27,107215.36499999999
2004-08-28,99164.2
2004-08-29,93075.025
2004-08-30,106816.18
2004-08-31,108023.805
2004-09-01,107592.98999999999
2004-09-02,108307.275
2004-09-03,107958.04
2004-09-04,100140.52
2004-09-05,92263.755
2004-09-06,104124.89499999999
2004-09-07,104713.565
2004-09-08,105235.755
2004-09-09,106784.475
2004-09-10,106740.20000000001
2004-09-11,98167.38
2004-09-12,91157.91
2004-09-13,105740.25
2004-09-14,106909.79000000001
2004-09-15,105035.88500000001
2004-09-16,102856.5
2004-09-17,103248.455
2004-09-18,96743.45000000001
2004-09-19,90772.54500000001
2004-09-20,104226.91500000001
2004-09-21,105116.425
2004-09-22,104498.005
2004-09-23,106792.75
2004-09-24,106432.45000000001
2004-09-25,97557.755
2004-09-26,90488.06999999999
2004-09-27,104654.755
2004-09-28,106308.605
2004-09-29,103891.33
2004-09-30,102662.495
2004-10-01,102172.25
2004-10-02,96131.67
2004-10-03,91337.70499999999
2004-10-04,105288.82
2004-10-05,109685.95
2004-10-06,108808.14
2004-10-07,108979.95
2004-10-08,108572.35999999999
2004-10-09,98045.72499999999
2004-10-10,92518.66
2004-10-11,106800.9
2004-10-12,108929.12
2004-10-13,107231.215
2004-10-14,107325.425
2004-10-15,107851.29000000001
2004-10-16,99637.86
2004-10-17,92231.605
2004-10-18,105477.6
2004-10-19,104437.23000000001
2004-10-20,104102.9
2004-10-21,104788.20999999999
2004-10-22,104150.74500000001
2004-10-23,94901.595
2004-10-24,88146.8
2004-10-25,101707.48999999999
2004-10-26,102824.605
2004-10-27,103203.53
2004-10-28,102629.465
2004-10-29,101858.36
2004-10-30,95140.14499999999
2004-10-31,89010.19499999999
2004-11-01,102936.41500000001
2004-11-02,104122.25
2004-11-03,104458.91
2004-11-04,105155.05
2004-11-05,104093.36
2004-11-06,96564.13500000001
2004-11-07,91668.21
2004-11-08,105469.2
2004-11-09,106165.01
2004-11-10,104217.675
2004-11-11,91252.16
2004-11-12,100901.185
2004-11-13,93779.92
2004-11-14,86483.195
2004-11-15,88876.955
2004-11-16,104057.86000000002
2004-11-17,105031.775
2004-11-18,105930.075
2004-11-19,105712.935
2004-11-20,94599.43000000001
2004-11-21,89329.94
2004-11-22,101833.1
2004-11-23,103578.275
2004-11-24,102854.505
2004-11-25,103835.51499999998
2004-11-26,101780.945
2004-11-27,95348.66
2004-11-28,88257.47499999999
2004-11-29,100929.415
2004-11-30,103652.74
2004-12-01,103325.41
2004-12-02,104721.105
2004-12-03,105719.67000000001
2004-12-04,96667.78
2004-12-05,90047.33
2004-12-06,101786.68
2004-12-07,99751.69
2004-12-08,99305.16
